Overall, O -1 3
this O -1 3
is O -1 3
a O -1 3
nice(1) O -1 3
place O -1 3
to O -1 3
take O -1 3
a O -1 3
few O -1 3
friends O -1 3
to O -1 3
hang O -1 3
out O -1 3
at O -1 3
and O -1 3
the O -1 3
service O -1 3
is O -1 3
excellent(2). O -1 3

Even O -1 3
though O -1 3
I O -1 3
made O -1 3
the O -1 3
reservation O -1 3
at O -1 3
3pm O -1 3
for O -1 3
the O -1 3
same O -1 3
night O -1 3
through O -1 3
Dinnerbroker, O -1 3
we O -1 3
were O -1 3
seated B-ASP 2 3
at O -1 3
a O -1 3
table O -1 3
with O -1 3
one O -1 3
of O -1 3
the O -1 3
best O -1 3
view! O -1 3

The O -1 0
food O -1 0
is O -1 0
nothing O -1 0
like O -1 0
its O -1 0
menu B-ASP 0 0
description. I-ASP 0 0

The O -1 1
food O -1 1
was O -1 1
mediocre O -1 1
at O -1 1
best O -1 1
but O -1 1
it O -1 1
was O -1 1
the O -1 1
horrible O -1 1
service B-ASP 0 1
that O -1 1
made O -1 1
me O -1 1
vow O -1 1
never O -1 1
to O -1 1
go O -1 1
back. O -1 1

Southern B-ASP 1 0
Indian I-ASP 1 0
cuisine I-ASP 1 0
is O -1 0
still O -1 0
there, O -1 0
too. O -1 0

The O -1 0
fajita B-ASP 0 0
we O -1 0
tried O -1 0
was O -1 0
tasteless O -1 0
and O -1 0
burned(1) O -1 0
and O -1 0
the O -1 0
mole O -1 0
sauce O -1 0
was O -1 0
way O -1 0
too O -1 0
sweet(2). O -1 0

The O -1 3
food B-ASP 2 3
is O -1 3
all-around O -1 3
good(1), O -1 3
with O -1 3
the O -1 3
rolls O -1 3
usually O -1 3
excellent(2) O -1 3
and O -1 3
the O -1 3
sushi/sashimi O -1 3
not O -1 3
quite O -1 3
on O -1 3
the O -1 3
same O -1 3
level(3). O -1 3

The O -1 3
dim O -1 3
sum O -1 3
is O -1 3
delectable O -1 3
while O -1 3
the O -1 3
prices B-ASP 2 3
are O -1 3
quite O -1 3
easy O -1 3
on O -1 3
the O -1 3
wallet. O -1 3

(food O -1 0
was O -1 0
delivered O -1 0
by O -1 0
a O -1 0
busboy, O -1 0
not O -1 0
waiter) O -1 0
We O -1 0
got O -1 0
no O -1 0
cheese O -1 0
offered O -1 0
for O -1 0
the O -1 0
pasta, B-ASP 0 0
our O -1 0
water O -1 0
and O -1 0
wine O -1 0
glasses O -1 0
remained O -1 0
EMPTY O -1 0
our O -1 0
entire O -1 0
meal, O -1 0
when O -1 0
we O -1 0
would O -1 0
have O -1 0
easily O -1 0
spent O -1 0
another O -1 0
$20 O -1 0
on O -1 0
wine. O -1 0

After O -1 3
dinner, B-ASP 1 3
take O -1 3
your O -1 3
date O -1 3
